1.981;2.031;0.965;-1.882;0.008;2.466
1.992;2.029;0.967;-1.882;0.005;2.463
2.017;2.008;0.981;-1.888;0.006;2.449
2.016;1.997;1.000;-1.896;0.003;2.447
2.026;1.990;0.997;-1.894;0.005;2.442
2.034;1.976;1.015;-1.902;-0.001;2.437
2.034;1.976;1.015;-1.902;-0.001;2.437
2.039;1.978;1.009;-1.899;0.001;2.436
2.027;1.973;1.040;-1.912;0.000;2.438
2.033;1.967;1.035;-1.911;-0.004;2.435
2.039;1.966;1.034;-1.910;-0.006;2.434
2.007;2.006;1.002;-1.896;0.005;2.452
2.023;1.983;1.017;-1.903;-0.001;2.442
2.029;1.983;1.005;-1.898;0.003;2.439
2.045;1.970;1.006;-1.898;0.001;2.431
2.051;1.963;1.007;-1.899;0.000;2.427
2.034;1.975;1.013;-1.901;0.000;2.436
2.021;1.994;1.001;-1.896;0.005;2.444
1.994;2.014;0.984;-1.890;0.011;2.457
1.982;2.027;0.976;-1.886;0.013;2.464
2.006;2.012;1.000;-1.895;0.006;2.454
1.996;2.024;1.001;-1.896;0.013;2.459
2.003;1.989;1.027;-1.908;-0.001;2.450
2.010;1.989;1.023;-1.906;-0.001;2.447
2.034;1.973;1.015;-1.902;-0.001;2.435
1.968;2.007;1.038;-1.913;0.017;2.461
2.002;1.995;1.016;-1.903;0.012;2.449
2.008;1.990;1.017;-1.903;0.006;2.447
2.010;2.002;1.004;-1.897;0.008;2.449
2.010;2.002;1.004;-1.897;0.008;2.449
2.000;1.994;1.045;-1.915;-0.002;2.453
2.000;1.994;1.045;-1.915;-0.002;2.453
2.012;1.991;1.036;-1.911;0.002;2.447
2.010;1.990;1.017;-1.903;0.002;2.448
2.010;1.990;1.017;-1.903;0.002;2.448
2.007;1.993;1.031;-1.909;-0.003;2.451
2.015;1.994;0.989;-1.891;-0.001;2.448
2.046;1.973;0.986;-1.890;0.003;2.431
2.031;1.979;1.002;-1.897;0.001;2.438
2.001;2.010;0.985;-1.890;0.009;2.454
2.016;1.987;1.011;-1.901;0.004;2.445
2.027;1.986;1.002;-1.897;0.006;2.440
2.042;1.970;1.005;-1.898;0.003;2.432
2.047;1.973;0.987;-1.890;0.009;2.430
2.042;1.978;0.990;-1.892;0.008;2.433
2.039;1.981;0.992;-1.892;0.007;2.435
2.045;1.978;0.980;-1.888;0.011;2.431
2.012;2.002;0.991;-1.892;0.015;2.447
2.011;2.005;0.990;-1.892;0.013;2.449
2.007;2.010;0.997;-1.894;0.006;2.453
2.022;1.996;0.995;-1.894;0.007;2.444
1.997;2.020;0.982;-1.888;0.011;2.457
2.016;2.001;0.988;-1.891;0.009;2.447
2.017;1.995;1.004;-1.897;0.004;2.446
2.040;1.978;1.007;-1.898;0.002;2.435
2.036;1.979;1.000;-1.896;0.005;2.436
2.023;1.996;0.995;-1.894;0.008;2.444
2.003;2.014;0.998;-1.895;0.013;2.453
2.019;1.998;0.996;-1.894;0.010;2.445
2.003;2.017;0.999;-1.895;0.014;2.454
2.009;2.001;1.009;-1.899;0.007;2.450
2.011;1.992;1.013;-1.902;0.003;2.447
2.005;2.007;0.986;-1.890;0.006;2.453
2.022;1.996;0.990;-1.891;0.006;2.444
2.017;1.989;1.004;-1.898;0.003;2.445
2.014;2.003;0.997;-1.894;0.007;2.448
2.024;2.009;0.969;-1.882;0.006;2.447
2.022;1.996;0.998;-1.895;0.007;2.444
2.029;1.990;0.996;-1.894;0.007;2.440
2.028;1.988;1.009;-1.899;0.005;2.441
2.028;1.988;1.009;-1.899;0.005;2.441
2.035;1.977;1.022;-1.905;-0.001;2.437
2.025;1.982;1.021;-1.904;-0.001;2.441
2.041;1.969;1.014;-1.902;-0.001;2.432
2.041;1.969;1.014;-1.902;-0.001;2.432
2.009;1.989;1.004;-1.898;0.009;2.445
2.014;1.990;1.012;-1.901;0.004;2.445
2.004;2.002;1.010;-1.900;0.006;2.452
2.019;1.992;1.002;-1.896;0.006;2.444
2.048;1.972;0.993;-1.893;0.007;2.429
2.036;1.979;1.010;-1.900;0.007;2.435
2.057;1.966;0.997;-1.894;0.007;2.425
2.058;1.961;1.002;-1.897;0.003;2.424
2.056;1.969;0.986;-1.890;0.009;2.426
2.041;1.980;1.007;-1.898;0.008;2.434
2.026;1.973;1.033;-1.910;-0.000;2.439
2.013;1.993;1.018;-1.903;-0.000;2.448
2.024;1.988;1.006;-1.898;0.004;2.442
2.044;1.974;1.007;-1.899;0.002;2.433
2.033;1.988;0.997;-1.894;0.007;2.439
2.039;1.987;1.000;-1.895;0.010;2.436
2.020;2.006;0.979;-1.887;0.009;2.447
2.018;1.997;0.999;-1.895;0.004;2.446
2.023;1.983;1.029;-1.908;-0.005;2.443
2.030;1.984;1.011;-1.900;0.001;2.440
2.015;2.004;0.984;-1.889;0.004;2.449
2.016;1.996;1.002;-1.897;0.002;2.447
2.017;1.992;1.010;-1.900;0.001;2.446
2.023;1.985;1.001;-1.896;0.004;2.441
2.024;1.987;1.015;-1.902;0.005;2.441
2.039;1.982;0.992;-1.892;0.010;2.434
2.024;1.997;0.991;-1.892;0.010;2.443
2.010;2.007;0.973;-1.885;0.009;2.450
2.018;1.998;1.001;-1.896;0.008;2.446
2.018;1.998;1.001;-1.896;0.008;2.446
2.023;1.983;1.018;-1.903;-0.000;2.442
2.018;1.997;1.004;-1.897;0.005;2.446
2.023;1.995;1.017;-1.902;0.006;2.444
2.022;1.998;1.021;-1.903;0.010;2.444
2.024;2.005;1.000;-1.895;0.009;2.446
2.012;2.014;0.978;-1.886;0.008;2.452
2.036;1.985;0.993;-1.893;0.004;2.438
2.023;1.986;1.007;-1.899;0.009;2.441
2.022;1.988;1.013;-1.901;0.004;2.443
2.011;2.006;0.985;-1.890;0.006;2.450
2.035;1.981;0.996;-1.894;0.003;2.437
2.043;1.959;1.022;-1.905;-0.003;2.430
2.048;1.949;1.035;-1.911;-0.005;2.426
2.038;1.971;1.032;-1.909;0.001;2.434
2.058;1.962;1.008;-1.899;0.004;2.424
2.038;1.977;1.015;-1.902;0.002;2.436
2.035;1.987;1.023;-1.904;0.004;2.438
2.002;2.013;0.995;-1.894;0.010;2.454
2.007;2.013;0.993;-1.892;0.010;2.452
2.006;2.021;0.976;-1.885;0.009;2.455
2.011;2.003;0.997;-1.894;0.004;2.450
2.006;1.986;1.045;-1.915;-0.002;2.449
2.003;2.004;1.001;-1.896;0.003;2.453
2.039;1.978;0.992;-1.893;0.005;2.434
2.038;1.981;0.993;-1.893;0.006;2.435
2.032;1.986;1.011;-1.900;0.006;2.438
2.015;1.988;1.027;-1.907;-0.001;2.446
2.015;1.987;1.023;-1.905;-0.001;2.446
2.025;1.977;1.009;-1.900;-0.007;2.441
1.999;2.010;0.989;-1.892;0.004;2.456
2.009;2.004;1.006;-1.898;0.009;2.450
1.991;2.010;1.019;-1.904;0.004;2.458
2.014;1.996;1.006;-1.898;0.006;2.447
2.024;1.989;1.000;-1.896;0.006;2.442
2.014;1.989;1.027;-1.907;0.003;2.446
2.016;1.992;1.025;-1.906;0.001;2.446
1.994;2.017;0.996;-1.894;0.009;2.458
1.983;2.029;0.982;-1.888;0.012;2.464
2.013;1.995;1.007;-1.899;0.002;2.448
1.994;2.020;0.988;-1.891;0.009;2.459
1.968;2.035;0.986;-1.890;0.014;2.470
1.975;2.033;0.994;-1.893;0.016;2.466
1.992;2.022;0.992;-1.892;0.013;2.459
2.007;2.004;1.009;-1.900;0.010;2.450
2.023;1.995;1.002;-1.896;0.009;2.443
2.040;1.987;0.986;-1.890;0.012;2.435
2.029;1.993;1.005;-1.897;0.013;2.440
2.036;1.980;1.020;-1.904;0.002;2.437
2.035;1.981;1.007;-1.898;0.005;2.437
2.004;2.013;0.984;-1.889;0.011;2.453
2.004;2.013;0.984;-1.889;0.011;2.453
2.018;1.997;0.989;-1.891;0.009;2.445
2.014;2.003;0.989;-1.891;0.010;2.448
2.016;1.996;1.005;-1.898;0.005;2.447
2.025;1.989;0.999;-1.895;0.006;2.441
1.999;2.016;0.984;-1.889;0.011;2.456
2.008;2.002;1.002;-1.897;0.005;2.451
2.015;1.993;1.014;-1.902;0.006;2.446
1.995;2.020;0.992;-1.892;0.011;2.458
2.013;2.000;0.993;-1.893;0.009;2.447
2.027;1.995;0.994;-1.893;0.008;2.442
2.037;1.975;1.016;-1.902;0.002;2.435
2.005;2.009;0.992;-1.892;0.009;2.452
2.005;2.009;0.992;-1.892;0.009;2.452
